"","num","taxNum","taxon","rawImprovement","IC"
"1",0,NA,NA,NA,8392.56812735393
"2",1,"275","Quercus lobata|QUE000336",143.677974452448,8536.24610180638
"3",2,"179","Quercus rysophylla|QUE002756",129.221913997317,8665.4680158037
"4",3,"183","Quercus sartorii|QUE000549",107.445729367582,8772.91374517128
"5",4,"210","Quercus sapotifolia|QUE000540",60.2324222236984,8833.14616739498
"6",5,"199","Quercus cf. miquihuanensis- autopista|QUE002738",50.8742879230686,8884.02045531805
"7",6,"229","Quercus fulva|QUE001311",42.9063091789685,8926.92676449702
"8",7,"264","Quercus faginea|QUE000993",39.2613922272521,8966.18815672427
"9",8,"184","Quercus meavei|QUE002835",18.1073995995976,8984.29555632387
"10",9,"234","Quercus hypoxantha|QUE002910",46.6750843385671,9030.97064066243
"11",10,"307","Quercus germana|QUE000823",16.9363836032153,9047.90702426565
"12",11,"21","Quercus intricata|QUE002842",129.703480628701,9177.61050489435
"13",12,"74","Quercus phanera|QUE000938",16.0839694791048,9193.69447437345
"14",13,"30","Quercus garryana|QUE001165",14.3014448096801,9207.99591918313
"15",14,"263","Quercus canariensis|QUE000325",4.98650241944233,9212.98242160258
"16",15,"213","Quercus peninsularis|QUE001023",0.314442650498677,9213.29686425308
