"","fb_max","partner"
"Quercus_engleriana","0.173413","Quercus_spinosa"
"b61","0.109725","Quercus_engleriana"
"Quercus_pontica","0.0935117","Quercus_canariensis"
"b97","0.0901569","Quercus_prinoides"
"Quercus_pagoda","0.0842341","Quercus_phellos"
"Quercus_griffithii","0.0822288","Quercus_dentata"
"b86","0.0797237","Quercus_engelmannii"
"Quercus_macrocarpa","0.0773213","Quercus_lobata"
"Quercus_lobata","0.0754477","Quercus_dumosa"
"b107","0.0718501","Quercus_prinoides"
"b53","0.0701888","Quercus_pontica"
"Quercus_petraea","0.069606","Quercus_robur"
"b67","0.0668496","Quercus_rubra"
"Quercus_acutissima","0.0660442","Quercus_chenii"
"b85","0.0623214","Quercus_dumosa"
"b94","0.0546223","Quercus_sinuata"
"Quercus_wutaishanica","0.0545555","Quercus_dentata"
"Quercus_dentata","0.0535872","Quercus_wutaishanica"
"Quercus_senescens","0.0535589","Quercus_pseudosemecarpifolia"
"b84","0.0532887","Quercus_muehlenbergii"
"Quercus_serrata","0.0532546","Quercus_fabri"
"Quercus_kelloggii","0.0509627","Quercus_rubra"
"b112","0.0505878","Quercus_senescens"
"Quercus_phellos","0.050056","Quercus_texana"
"Quercus_rubra","0.0483322","Quercus_kelloggii"
"Quercus_fabri","0.0478693","Quercus_serrata"
"b73","0.0474706","Quercus_engleriana"
"Quercus_engelmannii","0.0473396","Quercus_dumosa"
"Quercus_spinosa","0.0466349","Quercus_engleriana"
"b96","0.0419314","Quercus_pontica"
