"","compareSect","mean","sd","n","sem","mean_sem"
"1","Cerris",0.007591,0.016507,66,0.002032,"0.007591 +/- 0.002032"
"2","Cyclobalanopsis",0.001691,0.004769,231,0.000314,"0.001691 +/- 0.000314"
"3","INTERSECTION",0.000704,0.004449,7644,5.1e-05,"0.000704 +/- 5.1e-05"
"4","Ilex",0.014297,0.034562,378,0.001778,"0.014297 +/- 0.001778"
"5","Lobatae",0.014594,0.022076,120,0.002015,"0.014594 +/- 0.002015"
"6","Ponticae",NA,NA,6,NA,"NaN +/- NA"
"7","Protobalanus",0,0,15,0,"0 +/- 0"
"8","Quercus",0.006114,0.013142,1326,0.000361,"0.006114 +/- 0.000361"
"9","Virentes",NA,NA,6,NA,"NaN +/- NA"
