"","x"
"reseq_Quercus_CA","0%"
"reseq_Quercus_MX","100%"
"reseq_Quercus_MX_stellatae","100%"
"reseq_roburoids_albae","100%"
"reseq_mac_bic","100%"
"reseq_mac_bic_lob","100%"
"simRAD_Quercus_CA","36.2%"
"simRAD_Quercus_MX","100%"
"simRAD_Quercus_MX_stellatae","87.5%"
"simRAD_roburoids_albae","37.2%"
"simRAD_mac_bic","41.8%"
"simRAD_mac_bic_lob","34.8%"
"reseq_simRAD_Quercus_CA","24.2%"
"reseq_simRAD_Quercus_MX","100%"
"reseq_simRAD_Quercus_MX_stellatae","91.7%"
"reseq_simRAD_roburoids_albae","58.2%"
"reseq_simRAD_mac_bic","61.2%"
"reseq_simRAD_mac_bic_lob","56.5%"
"empiricalRAD_Quercus_CA","1.6%"
"empiricalRAD_Quercus_MX","2.9%"
"empiricalRAD_Quercus_MX_stellatae","19.1%"
"empiricalRAD_roburoids_albae","46.2%"
"empiricalRAD_mac_bic","26.5%"
"empiricalRAD_mac_bic_lob","78.8%"
"ref_alba_Quercus_CA","0%"
"ref_alba_Quercus_MX","0%"
"ref_alba_Quercus_MX_stellatae","13%"
"ref_alba_roburoids_albae","64%"
"ref_alba_mac_bic","7%"
"ref_alba_mac_bic_lob","87%"
"ref_glauca_Quercus_CA","0%"
"ref_glauca_Quercus_MX","0%"
"ref_glauca_Quercus_MX_stellatae","14%"
"ref_glauca_roburoids_albae","73%"
"ref_glauca_mac_bic","11%"
"ref_glauca_mac_bic_lob","98%"
"ref_longispica_Quercus_CA","0%"
"ref_longispica_Quercus_MX","0%"
"ref_longispica_Quercus_MX_stellatae","26%"
"ref_longispica_roburoids_albae","21%"
"ref_longispica_mac_bic","8%"
"ref_longispica_mac_bic_lob","96%"
"ref_rubra_Quercus_CA","0%"
"ref_rubra_Quercus_MX","6%"
"ref_rubra_Quercus_MX_stellatae","51%"
"ref_rubra_roburoids_albae","70%"
"ref_rubra_mac_bic","0%"
"ref_rubra_mac_bic_lob","100%"
"ref_tomentella_Quercus_CA","1%"
"ref_tomentella_Quercus_MX","0%"
"ref_tomentella_Quercus_MX_stellatae","1%"
"ref_tomentella_roburoids_albae","32%"
"ref_tomentella_mac_bic","38%"
"ref_tomentella_mac_bic_lob","77%"
"ref_variabilis_Quercus_CA","3%"
"ref_variabilis_Quercus_MX","8%"
"ref_variabilis_Quercus_MX_stellatae","26%"
"ref_variabilis_roburoids_albae","26%"
"ref_variabilis_mac_bic","23%"
"ref_variabilis_mac_bic_lob","83%"
"ref_virginiana_Quercus_CA","0%"
"ref_virginiana_Quercus_MX","0%"
"ref_virginiana_Quercus_MX_stellatae","13%"
"ref_virginiana_roburoids_albae","83%"
"ref_virginiana_mac_bic","24%"
"ref_virginiana_mac_bic_lob","90%"
